nationality,grade_level,hands_raised,attendances,hours_studied,marks
1,10,15,40,10,85
2,10,20,45,12,90
1,9,8,35,8,75
3,11,25,48,14,92
2,10,18,42,11,88
1,9,5,30,6,65
3,12,28,50,15,95
2,11,22,46,13,89
1,10,12,38,9,80
3,10,30,49,16,96
2,9,10,35,7,72
1,11,20,44,12,86
3,9,15,40,10,84
2,12,26,47,14,91
1,10,8,32,5,68
3,11,24,48,13,90
2,10,19,41,11,87
1,9,14,39,10,82
3,12,32,50,17,98
2,11,21,45,12,88
1,10,10,36,8,76
3,10,27,49,15,94
2,9,16,38,10,81
1,11,23,46,13,89
3,9,18,42,11,85
2,10,11,34,7,70
1,12,29,49,15,93
3,11,25,47,14,91
2,10,13,37,9,79
1,9,20,43,12,87
3,10,31,50,16,97
2,11,17,40,10,83
1,10,22,45,13,89
3,12,26,48,14,92
2,9,9,33,6,67
1,11,28,49,15,94
3,10,24,46,13,90
2,10,15,39,10,84
1,9,19,41,11,86
3,11,30,50,16,96
2,12,21,44,12,88
1,10,7,31,5,64
3,9,23,47,13,89
2,11,18,42,11,85
1,10,25,48,14,91
3,10,16,38,9,80
2,9,14,36,8,74
1,11,27,49,15,93
3,12,20,45,12,87
2,10,12,40,9,81
1,9,24,46,13,89
3,11,28,50,15,94
2,10,10,34,7,69
1,12,22,47,13,89
3,9,26,44,12,88
2,11,19,41,10,84
1,10,15,38,9,79
3,10,29,49,16,95
2,9,17,42,11,86
1,11,21,45,13,89
3,12,25,48,14,91
2,10,13,37,8,77
1,9,23,44,12,87
3,11,27,50,15,94
2,10,20,43,11,86
1,10,8,32,6,70
3,9,24,46,13,90
2,11,16,39,10,83
1,12,28,49,15,93
3,10,18,41,10,84
2,9,14,35,8,75
1,11,26,47,14,91
3,10,22,45,12,88
2,10,11,38,9,81
1,9,19,42,11,85
3,11,29,50,16,96
2,12,17,43,10,86
1,10,23,46,13,89
3,9,21,40,11,85
2,11,15,37,9,79
1,10,25,48,14,91
3,10,19,44,12,88
2,9,12,36,8,74
1,11,27,49,15,93
3,12,20,45,12,87
2,10,24,47,14,90
1,9,16,39,10,83
3,11,28,50,15,94
2,10,18,42,11,86
1,12,22,44,13,89
3,9,26,46,12,88
2,11,14,38,9,80
1,10,20,43,11,85
